117
ESC							ESCAPE
TAB							TAB
CAPS_LOCK						CAPITAL
L_SHIFT							LSHIFT
R_SHIFT							RSHIFT
L_CONTROL						LCONTROL
R_CONTROL						RCONTROL
L_ALT							LMENU
R_ALT							RMENU
L_WINDOWS						LWIN
R_WINDOWS						RWIN
APPLICATIONS/CONTEXT_MENU				APPS
ENTER							RETURN
SPACE							SPACE
BACKSPACE						BACK
UP							UP
DOWN							DOWN
LEFT							LEFT
RIGHT							RIGHT
INSERT							INSERT
DELETE							DELETE
HOME							HOME
END							END
PAGE_UP							PRIOR
PAGE_DOWN						NEXT
NUM_LOCK						NUMLOCK
PRINT_SCREEN						SNAPSHOT
SCROLL_LOCK						SCROLL
PAUSE							PAUSE
F1							F1
F2							F2
F3							F3
F4							F4
F5							F5
F6							F6
F7							F7
F8							F8
F9							F9
F10							F10
F11							F11
F12							F12
F13							F13
F14							F14
F15							F15
F16							F16
F17							F17
F18							F18
F19							F19
F20							F20
F21							F21
F22							F22
F23							F23
F24							F24
/							DIVIDE
*							MULTIPLY
`~							OEM_3
[{							OEM_4
]}							OEM_6
\|							OEM_5
;:							OEM_1
'"							OEM_7
,<							OEM_COMMA
.>							OEM_PERIOD
/?							OEM_2
-_							OEM_MINUS
=+							OEM_PLUS
0							VK_0
1							VK_1
2							VK_2
3							VK_3
4							VK_4
5							VK_5
6							VK_6
7							VK_7
8							VK_8
9							VK_9
A							VK_A
B							VK_B
C							VK_C
D							VK_D
E							VK_E
F							VK_F
G							VK_G
H							VK_H
I							VK_I
J							VK_J
K							VK_K
L							VK_L
M							VK_M
N							VK_N
O							VK_O
P							VK_P
Q							VK_Q
R							VK_R
S							VK_S
T							VK_T
U							VK_U
V							VK_V
W							VK_W
X							VK_X
Y							VK_Y
Z							VK_Z
PLAY							PLAY
MUTE							VOLUME_MUTE
VOLUME_UP						VOLUME_UP
VOLUME_DOWN						VOLUME_DOWN
SLEEP							SLEEP
NUMPAD0							NUMPAD0
NUMPAD1							NUMPAD1
NUMPAD2							NUMPAD2
NUMPAD3							NUMPAD3
NUMPAD4							NUMPAD4
NUMPAD5							NUMPAD5
NUMPAD6							NUMPAD6
NUMPAD7							NUMPAD7
NUMPAD8							NUMPAD8
NUMPAD9							NUMPAD9
